n,each1e6,each,mean, meanOriginal, variance, stdDev
11,24.422,2.4421867E-05,1.22109335E+01,1.22109335E-02,2.0742094E-07,4.554349E-04
21,32.122,3.212214E-05,1.606107E+01,1.606107E-02,4.1944156E-07,6.4764306E-04
31,38.218,3.8217928E-05,1.9108964E+01,1.9108964E-02,1.7142447E-07,4.1403438E-04
41,45.446,4.5446132E-05,2.2723066E+01,2.2723066E-02,3.5234511E-06,1.8770858E-03
51,45.342,4.5341798E-05,2.2670899E+01,2.2670899E-02,9.4409825E-07,9.7164715E-04
61,48.254,4.8254006E-05,2.4127003E+01,2.4127003E-02,4.2435755E-07,6.514273E-04
71,52.927,5.2926536E-05,2.6463268E+01,2.6463268E-02,2.2678012E-06,1.5059221E-03
81,56.814,5.68144E-05,2.84072E+01,2.84072E-02,2.0907598E-06,1.445946E-03
91,63.134,6.31342E-05,3.15671E+01,3.15671E-02,1.147197E-06,1.0710729E-03
101,69.599,6.959906E-05,3.479953E+01,3.479953E-02,4.6136934E-06,2.147951E-03
111,76.820,7.682047E-05,3.8410235E+01,3.8410235E-02,3.5744847E-06,1.8906308E-03
121,82.155,8.2155392E-05,4.1077696E+01,4.1077696E-02,2.8680704E-06,1.6935378E-03
131,87.941,8.7941476E-05,4.3970738E+01,4.3970738E-02,4.9154764E-06,2.2170874E-03
141,94.103,9.410326E-05,4.705163E+01,4.705163E-02,1.9289584E-05,4.391991E-03
151,105.619,1.0561933E-04,5.2809667E+01,5.2809667E-02,1.3503631E-05,3.6747286E-03
161,104.099,1.040986E-04,5.204929E+01,5.204929E-02,1.8638599E-05,4.3172445E-03
171,103.968,1.0396761E-04,5.1983807E+01,5.1983807E-02,7.3515275E-06,2.7113701E-03
181,113.640,1.1364014E-04,5.6820072E+01,5.6820072E-02,9.170327E-06,3.0282547E-03
191,114.169,1.1416921E-04,5.7084605E+01,5.7084605E-02,5.862063E-06,2.4211698E-03
201,118.200,1.1819987E-04,5.9099935E+01,5.9099935E-02,6.056666E-06,2.4610294E-03
211,121.583,1.2158313E-04,6.0791563E+01,6.0791563E-02,1.17397285E-05,3.4263288E-03
221,127.702,1.27702E-04,6.385098E+01,6.385098E-02,1.0455977E-05,3.2335704E-03
231,130.996,1.309963E-04,6.549813E+01,6.549813E-02,1.309781E-05,3.6190897E-03
241,136.400,1.3640027E-04,6.8200134E+01,6.8200134E-02,1.0637557E-05,3.2615268E-03
251,148.313,1.48313E-04,7.415651E+01,7.415651E-02,1.7017164E-05,4.1251867E-03
261,145.758,1.4575793E-04,7.2878964E+01,7.2878964E-02,6.993866E-06,2.6445917E-03
271,151.275,1.512747E-04,7.563733E+01,7.563733E-02,6.523141E-05,8.076597E-03
281,169.538,1.6953841E-04,8.4769204E+01,8.4769204E-02,8.504882E-05,9.222192E-03
291,160.139,1.601389E-04,8.006947E+01,8.006947E-02,3.102637E-05,5.5701323E-03
301,166.420,1.664203E-04,8.321016E+01,8.321016E-02,1.2791589E-05,3.5765332E-03
311,168.877,1.688775E-04,8.443873E+01,8.443873E-02,1.5558277E-05,3.944398E-03
321,182.334,1.823337E-04,9.116687E+01,9.116687E-02,1.8136263E-05,4.258669E-03
331,183.717,1.8371679E-04,9.1858394E+01,9.1858394E-02,1.8172423E-05,4.2629126E-03
341,182.947,1.8294707E-04,9.1473535E+01,9.1473535E-02,1.4831295E-05,3.851142E-03
351,185.660,1.8565993E-04,9.2829965E+01,9.2829965E-02,1.02161075E-05,3.1962646E-03
361,197.447,1.9744675E-04,9.8723374E+01,9.8723374E-02,1.0984992E-05,3.3143614E-03
371,200.153,0.00020015,100.07627000,0.10007627,1.3046152E-05,3.6119458E-03
381,207.776,0.00020778,103.88794000,0.10388794,1.3472939E-05,3.6705502E-03
391,209.564,0.000209564,104.781955000,0.104781955,1.1314953E-05,3.3637707E-03
401,208.884,0.000208884,104.442164000,0.104442164,1.7803297E-05,4.219395E-03
411,224.092,0.00022409,112.04619000,0.11204619,2.0601747E-05,4.5389147E-03
421,228.108,0.000228108,114.054106000,0.114054106,1.1069843E-05,3.3271373E-03
431,230.588,0.00023059,115.29377000,0.11529377,8.953107E-06,2.9921744E-03
441,239.014,0.00023901,119.50723000,0.11950723,1.585773E-05,3.9821765E-03
451,240.026,0.000240026,120.012805000,0.120012805,1.4723314E-05,3.837097E-03
461,240.628,0.000240628,120.314166000,0.120314166,1.28933625E-05,3.5907328E-03
471,241.990,0.00024199,120.99506000,0.12099506,1.3050146E-05,3.6124985E-03
481,248.641,0.000248641,124.320336000,0.124320336,1.3955812E-05,3.735748E-03
491,247.338,0.00024734,123.66896000,0.12366896,1.4853001E-05,3.853959E-03
501,254.657,0.0002547,127.3287000,0.1273287,1.8226248E-05,4.269221E-03
511,258.818,0.00025882,129.40922000,0.12940922,1.271739E-05,3.566145E-03
521,263.209,0.00026321,131.60452000,0.13160452,2.0240246E-05,4.498916E-03
531,261.900,0.00026190,130.94981000,0.13094981,1.105946E-05,3.3255767E-03
541,266.342,0.0002663,133.1708000,0.1331708,1.9110455E-05,4.371551E-03
551,263.065,0.00026307,131.53252000,0.13153252,9.782655E-06,3.1277237E-03
561,281.617,0.00028162,140.80857000,0.14080857,1.4416922E-05,3.796962E-03
571,283.402,0.00028340,141.70079000,0.14170079,2.8706902E-05,5.357882E-03
581,287.001,0.00028700,143.50039000,0.14350039,1.9818059E-05,4.451748E-03
591,302.192,0.00030219,151.09585000,0.15109585,1.967773E-05,4.435959E-03
601,294.377,0.00029438,147.18837000,0.14718837,2.0799862E-05,4.5606866E-03
611,299.219,0.00029922,149.60931000,0.14960931,1.4240869E-05,3.7737077E-03
621,304.987,0.00030499,152.49361000,0.15249361,9.286724E-06,3.0474127E-03
631,303.798,0.00030380,151.89886000,0.15189886,1.5446281E-05,3.9301757E-03
641,312.126,0.0003121,156.0629000,0.1560629,3.4284323E-05,5.855282E-03
651,325.078,0.000325,162.539000,0.162539,2.42066E-05,4.9200202E-03
661,318.720,0.00031872,159.36008000,0.15936008,3.2673583E-05,5.7160812E-03
671,332.287,0.00033229,166.14358000,0.16614358,7.32821E-05,8.560496E-03
681,334.547,0.00033455,167.27367000,0.16727367,2.4261339E-05,4.92558E-03
691,357.701,0.0003577,178.8506000,0.1788506,1.500736E-04,1.2250453E-02
701,355.919,0.00035592,177.95964000,0.17795964,2.0585829E-04,1.4347763E-02
711,361.658,0.00036166,180.82899000,0.18082899,6.772589E-05,8.229574E-03
721,359.419,0.00035942,179.70963000,0.17970963,1.2531795E-05,3.5400274E-03
731,353.864,0.00035386,176.93199000,0.17693199,2.3238355E-05,4.820618E-03
741,365.916,0.00036592,182.95819000,0.18295819,2.3155504E-05,4.8120166E-03
751,367.878,0.00036788,183.93885000,0.18393885,3.7853188E-05,6.1524943E-03
761,375.877,0.00037588,187.93832000,0.18793832,8.062412E-06,2.8394386E-03
771,390.754,0.00039075,195.37687000,0.19537687,1.2266055E-04,1.1075223E-02
781,396.721,0.00039672,198.36044000,0.19836044,6.994921E-05,8.3635645E-03
791,384.684,0.00038468,192.34191000,0.19234191,1.609016E-05,4.0112543E-03
801,406.450,0.00040645,203.22476000,0.20322476,3.340151E-05,5.7794037E-03
811,404.904,0.000405,202.452000,0.202452,1.1469494E-05,3.3866642E-03
821,417.061,0.00041706,208.53034000,0.20853034,8.379229E-06,2.8946898E-03
831,418.948,0.00041895,209.47409000,0.20947409,1.2104155E-05,3.4791026E-03
841,416.409,0.00041641,208.20457000,0.20820457,9.044854E-06,3.0074664E-03
851,425.589,0.00042559,212.79454000,0.21279454,7.4271015E-06,2.7252708E-03
861,442.773,0.00044277,221.38658000,0.22138658,9.990868E-06,3.1608336E-03
871,443.859,0.00044386,221.92925000,0.22192925,7.108068E-06,2.666096E-03
881,439.344,0.0004393,219.6718000,0.2196718,8.326373E-06,2.8855456E-03
891,458.859,0.00045886,229.42947000,0.22942947,1.4827585E-05,3.8506603E-03
901,449.264,0.00044926,224.63182000,0.22463182,1.2256588E-05,3.500941E-03
911,464.947,0.00046495,232.47363000,0.23247363,9.141049E-06,3.0234167E-03
921,464.001,0.0004640,232.0005000,0.2320005,1.4222073E-05,3.7712164E-03
931,461.664,0.00046166,230.83177000,0.23083177,1.0032426E-05,3.1674006E-03
941,462.235,0.00046223,231.11738000,0.23111738,1.6721173E-05,4.089153E-03
951,472.967,0.0004730,236.4833000,0.2364833,1.55617E-05,3.944832E-03
961,490.544,0.0004905,245.2722000,0.2452722,1.3776629E-05,3.711688E-03
971,503.673,0.00050367,251.83633000,0.25183633,1.8327022E-05,4.281007E-03
981,499.577,0.00049958,249.78842000,0.24978842,1.7241684E-05,4.1523105E-03
991,507.581,0.0005076,253.7903000,0.2537903,9.979311E-06,3.1590047E-03
1001,512.860,0.00051286,256.42994000,0.25642994,4.5958765E-05,6.7792893E-03
1011,536.453,0.00053645,268.22627000,0.26822627,1.0487933E-04,1.02410605E-02
1021,548.329,0.00054833,274.16435000,0.27416435,6.457479E-05,8.035844E-03
1031,538.840,0.0005388,269.4202000,0.2694202,7.563853E-05,8.697041E-03
1041,567.611,0.00056761,283.80564000,0.28380564,1.4107871E-04,1.1877656E-02
1051,568.683,0.00056868,284.34142000,0.28434142,1.864141E-05,4.31757E-03
1061,560.376,0.00056038,280.18793000,0.28018793,1.7089483E-04,1.3072675E-02
1071,571.679,0.00057168,285.83962000,0.28583962,4.2888E-05,6.548893E-03
1081,564.109,0.00056411,282.05463000,0.28205463,2.6797223E-05,5.1766033E-03
1091,587.515,0.00058752,293.75765000,0.29375765,2.520528E-04,1.587617E-02
1101,600.593,0.00060059,300.29634000,0.30029634,9.446317E-05,9.719216E-03
1111,586.296,0.000586,293.148000,0.293148,2.1846163E-04,1.4780448E-02
1121,604.170,0.00060417,302.08513000,0.30208513,3.1751682E-04,1.7819002E-02
1131,583.248,0.00058325,291.62392000,0.29162392,1.639867E-05,4.049527E-03
1141,593.561,0.0005936,296.7805000,0.2967805,2.4287767E-05,4.928262E-03
1151,602.911,0.00060291,301.45547000,0.30145547,1.786002E-05,4.226112E-03
1161,602.827,0.00060283,301.41357000,0.30141357,3.4035307E-05,5.8339788E-03
1171,625.445,0.00062545,312.72268000,0.31272268,2.399349E-05,4.8983153E-03
1181,596.374,0.00059637,298.18714000,0.29818714,3.301282E-05,5.745678E-03
1191,633.664,0.00063366,316.83198000,0.31683198,3.25807E-05,5.707951E-03
1201,634.279,0.00063428,317.13936000,0.31713936,3.671747E-05,6.0594943E-03
1211,604.230,0.0006042,302.1148000,0.3021148,1.5289785E-05,3.9102156E-03
1221,630.738,0.00063074,315.36877000,0.31536877,2.2012684E-05,4.6917675E-03
1231,624.630,0.00062463,312.31484000,0.31231484,3.605623E-05,6.004684E-03
1241,618.418,0.0006184,309.2089000,0.3092089,2.2464576E-05,4.739681E-03
1251,654.317,0.00065432,327.15836000,0.32715836,2.6829084E-05,5.17968E-03
1261,643.819,0.00064382,321.90937000,0.32190937,1.4093506E-05,3.754132E-03
1271,650.587,0.00065059,325.29357000,0.32529357,1.2983209E-05,3.603222E-03
1281,658.037,0.0006580,329.0183000,0.3290183,6.060047E-05,7.78463E-03
1291,666.407,0.00066641,333.20343000,0.33320343,8.313702E-05,9.117951E-03
1301,654.691,0.00065469,327.34534000,0.32734534,2.6502206E-05,5.1480294E-03
1311,670.682,0.00067068,335.34113000,0.33534113,2.3344524E-05,4.831617E-03
1321,685.311,0.00068531,342.65563000,0.34265563,2.3863988E-05,4.885078E-03
1331,653.333,0.00065333,326.66644000,0.32666644,3.4094315E-05,5.839034E-03
1341,688.915,0.0006889,344.4575000,0.3444575,3.8647395E-05,6.216703E-03
1351,685.096,0.000685,342.548000,0.342548,2.9272114E-05,5.410371E-03
1361,686.353,0.00068635,343.17625000,0.34317625,2.2115853E-05,4.7027497E-03
1371,654.865,0.00065486,327.43242000,0.32743242,3.851275E-05,6.2058643E-03
1381,680.708,0.00068071,340.35414000,0.34035414,3.231459E-05,5.6845923E-03
1391,686.597,0.0006866,343.2987000,0.3432987,3.217151E-05,5.6719934E-03
1401,717.722,0.00071772,358.86088000,0.35886088,1.748733E-05,4.1817855E-03
1411,706.352,0.0007064,353.1758000,0.3531758,1.9312254E-05,4.394571E-03
1421,774.294,0.00077429,387.14692000,0.38714692,5.548338E-03,7.4487165E-02
1431,727.876,0.0007279,363.9378000,0.3639378,5.1756375E-05,7.1941903E-03
1441,729.218,0.0007292,364.6088000,0.3646088,7.7198914E-05,8.786291E-03
1451,720.451,0.0007205,360.2257000,0.3602257,7.043101E-05,8.392318E-03
1461,726.076,0.0007261,363.0381000,0.3630381,4.685924E-05,6.845381E-03
1471,714.022,0.00071402,357.01096000,0.35701096,1.5046365E-05,3.8789643E-03
1481,738.742,0.00073874,369.37088000,0.36937088,2.5202557E-05,5.0202147E-03
1491,724.343,0.00072434,362.17165000,0.36217165,3.1555457E-05,5.6174244E-03
1501,755.107,0.00075511,377.55337000,0.37755337,2.484842E-05,4.984819E-03
1511,736.235,0.0007362,368.1176000,0.3681176,5.4846045E-05,7.4058115E-03
1521,759.116,0.00075912,379.55797000,0.37955797,4.7153164E-05,6.866816E-03
1531,776.260,0.00077626,388.13004000,0.38813004,3.859021E-05,6.212102E-03
1541,770.508,0.00077051,385.25382000,0.38525382,1.8880546E-05,4.345175E-03
1551,770.297,0.00077030,385.14838000,0.38514838,2.9535768E-05,5.434682E-03
1561,776.932,0.00077693,388.46582000,0.38846582,2.1508864E-05,4.6377648E-03
1571,796.233,0.00079623,398.11668000,0.39811668,2.3141914E-05,4.8106043E-03
1581,799.819,0.00079982,399.90947000,0.39990947,3.726456E-05,6.10447E-03
1591,778.958,0.00077896,389.47922000,0.38947922,6.562424E-05,8.100879E-03
1601,795.968,0.00079597,397.98412000,0.39798412,2.6180658E-05,5.116704E-03
1611,833.540,0.00083354,416.76983000,0.41676983,2.7900242E-05,5.2820677E-03
1621,827.087,0.00082709,413.54325000,0.41354325,3.1955253E-05,5.6528975E-03
1631,791.416,0.00079142,395.70805000,0.39570805,2.2007202E-05,4.6911836E-03
1641,833.938,0.00083394,416.96918000,0.41696918,6.0332084E-05,7.767373E-03
1651,803.620,0.00080362,401.80978000,0.40180978,2.0286918E-05,4.5041E-03
1661,820.118,0.00082012,410.05903000,0.41005903,4.8026814E-05,6.930138E-03
1671,843.307,0.0008433,421.6537000,0.4216537,4.1429943E-04,2.0354347E-02
1681,833.304,0.000833,416.652000,0.416652,3.765778E-05,6.1365934E-03
1691,837.039,0.00083704,418.51935000,0.41851935,3.594398E-05,5.99533E-03
1701,860.336,0.0008603,430.1682000,0.4301682,4.842105E-05,6.9585238E-03
1711,880.515,0.00088051,440.25746000,0.44025746,2.41454E-05,4.9137967E-03
1721,839.119,0.00083912,419.55936000,0.41955936,3.2040312E-05,5.660416E-03
1731,872.197,0.0008722,436.0986000,0.4360986,6.542166E-04,2.5577659E-02
1741,866.294,0.00086629,433.14722000,0.43314722,4.09396E-05,6.3984063E-03
1751,871.692,0.00087169,435.84603000,0.43584603,5.3140797E-05,7.2897733E-03
1761,887.599,0.00088760,443.79953000,0.44379953,1.3949133E-04,1.18106445E-02
1771,893.891,0.00089389,446.94567000,0.44694567,6.655812E-05,8.158316E-03
1781,857.712,0.0008577,428.8558000,0.4288558,7.391218E-05,8.597219E-03
1791,914.597,0.0009146,457.2987000,0.4572987,5.3300344E-05,7.3007084E-03
1801,903.065,0.0009031,451.5324000,0.4515324,4.141475E-05,6.435429E-03
1811,929.347,0.0009293,464.6734000,0.4646734,9.6300806E-05,9.813298E-03
1821,906.085,0.00090608,453.04236000,0.45304236,2.7174625E-04,1.6484728E-02
1831,977.821,0.0009778,488.9103000,0.4889103,5.214921E-04,2.28362E-02
1841,1015.019,0.0010150,507.5094000,0.5075094,3.2702385E-04,1.8083801E-02
1851,974.571,0.00097457,487.28552000,0.48728552,2.8700434E-04,1.6941203E-02
1861,1038.423,0.00103842,519.21165000,0.51921165,9.3542665E-05,9.671746E-03
1871,1047.831,0.00104783,523.91535000,0.52391535,2.1478586E-04,1.4655574E-02
1881,998.268,0.0009983,499.1338000,0.4991338,3.1616594E-04,1.7781056E-02
1891,1000.476,0.0010005,500.2381000,0.5002381,9.2335866E-04,3.0386817E-02
1901,1045.038,0.0010450,522.5188000,0.5225188,6.6895224E-04,2.5864111E-02
1911,1010.694,0.0010107,505.3471000,0.5053471,2.898903E-04,1.7026166E-02
1921,999.045,0.0009990,499.5223000,0.4995223,6.821311E-05,8.259122E-03
1931,1019.197,0.0010192,509.5987000,0.5095987,1.1178392E-04,1.0572791E-02
1941,1010.723,0.0010107,505.3614000,0.5053614,6.568497E-05,8.104627E-03
1951,1035.860,0.0010359,517.9302000,0.5179302,5.6141056E-05,7.4927337E-03
1961,953.228,0.00095323,476.61385000,0.47661385,6.4693064E-05,8.0432E-03
1971,1034.109,0.0010341,517.0543000,0.5170543,9.4322844E-05,9.711995E-03
1981,1078.736,0.0010787,539.3681000,0.5393681,1.9233109E-04,1.3868349E-02
1991,1027.747,0.00102775,513.87346000,0.51387346,6.576593E-05,8.10962E-03
2001,1037.982,0.00103798,518.99105000,0.51899105,4.5856927E-05,6.771774E-03
2011,1104.194,0.0011042,552.0971000,0.5520971,1.6670676E-04,1.2911497E-02
2021,1054.650,0.0010547,527.3252000,0.5273252,4.4506483E-04,2.109656E-02
2031,1053.264,0.00105326,526.63213000,0.52663213,4.3611185E-04,2.0883292E-02
2041,1080.080,0.00108008,540.03984000,0.54003984,3.5720522E-04,1.8899873E-02
2051,1125.414,0.00112541,562.70677000,0.56270677,3.677818E-04,1.9177638E-02
2061,1120.985,0.0011210,560.4926000,0.5604926,5.766163E-04,2.4012838E-02
2071,1117.751,0.0011178,558.8757000,0.5588757,4.6477062E-04,2.155854E-02
2081,1112.260,0.00111226,556.12975000,0.55612975,4.674162E-04,2.161981E-02
2091,1134.177,0.00113418,567.08854000,0.56708854,5.112489E-04,2.2610813E-02
2101,1090.940,0.0010909,545.4698000,0.5454698,5.212927E-04,2.2831835E-02
2111,1134.228,0.0011342,567.1138000,0.5671138,7.979528E-04,2.8248059E-02
2121,1149.541,0.00114954,574.77057000,0.57477057,6.5859285E-04,2.5663065E-02
2131,1133.082,0.0011331,566.5411000,0.5665411,5.2388E-04,2.2888426E-02
2141,1164.514,0.0011645,582.2572000,0.5822572,6.228534E-04,2.4957031E-02
2151,1147.924,0.00114792,573.96215000,0.57396215,7.59351E-04,2.7556324E-02
2161,1159.420,0.0011594,579.7098000,0.5797098,5.838564E-04,2.4163121E-02
2171,1170.477,0.0011705,585.2385000,0.5852385,5.3045485E-04,2.3031605E-02
2181,1161.657,0.0011617,580.8283000,0.5808283,6.963961E-04,2.6389318E-02
2191,1201.084,0.001201,600.542000,0.600542,6.803385E-04,2.6083298E-02
2201,1225.962,0.00122596,612.98114000,0.61298114,1.0893245E-03,3.3004917E-02
2211,1239.751,0.0012398,619.8754000,0.6198754,6.2861864E-04,2.507227E-02
2221,1231.628,0.00123163,615.81415000,0.61581415,6.9671817E-04,2.639542E-02
2231,1217.514,0.00121751,608.75684000,0.60875684,6.4684334E-04,2.5433116E-02
2241,1229.946,0.0012299,614.9731000,0.6149731,7.084812E-04,2.661731E-02
2251,1220.636,0.00122064,610.31806000,0.61031806,4.572597E-04,2.1383632E-02
2261,1254.286,0.001254,627.143000,0.627143,1.2876041E-03,3.58832E-02
2271,1257.557,0.0012576,628.7786000,0.6287786,6.189255E-04,2.4878213E-02
2281,1225.972,0.001226,612.986000,0.612986,5.872505E-04,2.4233252E-02
2291,1261.242,0.00126124,630.62096000,0.63062096,8.7884057E-04,2.9645246E-02
2301,1331.618,0.0013316,665.8089000,0.6658089,8.6232624E-04,2.9365392E-02
2311,1257.456,0.001257,628.728000,0.628728,6.297989E-04,2.5095794E-02
2321,1325.298,0.00132530,662.64915000,0.66264915,7.418024E-04,2.723605E-02
2331,1266.424,0.00126642,633.21215000,0.63321215,6.131413E-04,2.476169E-02
2341,1323.250,0.0013232,661.6248000,0.6616248,7.6208287E-04,2.7605848E-02
2351,1299.023,0.0012990,649.5115000,0.6495115,6.568645E-04,2.5629368E-02
2361,1307.704,0.0013077,653.8519000,0.6538519,5.994517E-04,2.4483703E-02
2371,1278.417,0.00127842,639.20856000,0.63920856,6.390167E-04,2.5278779E-02
2381,1362.508,0.00136251,681.25397000,0.68125397,9.026336E-04,3.004386E-02
2391,1331.826,0.00133183,665.91287000,0.66591287,4.309498E-04,2.0759331E-02
2401,1360.110,0.0013601,680.0549000,0.6800549,5.064846E-04,2.2505213E-02
2411,1333.920,0.00133392,666.95976000,0.66695976,8.336026E-04,2.8872177E-02
2421,1328.070,0.0013281,664.0349000,0.6640349,5.240313E-04,2.289173E-02
2431,1337.816,0.001338,668.908000,0.668908,5.0716E-04,2.2520212E-02
2441,1341.917,0.00134192,670.95846000,0.67095846,6.4698147E-04,2.543583E-02
2451,1436.493,0.00143649,718.24634000,0.71824634,6.048779E-04,2.4594266E-02
2461,1370.873,0.0013709,685.4365000,0.6854365,4.7018583E-04,2.168377E-02
2471,1361.559,0.0013616,680.7793000,0.6807793,5.5345247E-04,2.352557E-02
2481,1361.163,0.00136116,680.58133000,0.68058133,5.6368666E-04,2.3742085E-02
2491,1354.519,0.00135452,677.25945000,0.67725945,5.0102104E-04,2.23835E-02
2501,1423.986,0.00142399,711.99304000,0.71199304,6.868061E-04,2.6206985E-02
2511,1417.305,0.00141730,708.65244000,0.70865244,5.861742E-04,2.4211034E-02
2521,1426.700,0.00143,713.35000,0.71335,1.0081667E-03,3.175164E-02
2531,1458.562,0.0014586,729.2811000,0.7292811,5.081646E-04,2.2542506E-02
2541,1449.541,0.00144954,724.77037000,0.72477037,8.454965E-04,2.9077422E-02
2551,1467.253,0.00146725,733.62654000,0.73362654,1.4454011E-03,3.801843E-02
2561,1418.602,0.0014186,709.3008000,0.7093008,6.956091E-04,2.6374402E-02
2571,1433.748,0.00143375,716.87406000,0.71687406,6.012597E-04,2.4520598E-02
2581,1429.769,0.00142977,714.88434000,0.71488434,6.2841113E-04,2.506813E-02
2591,1447.213,0.0014472,723.6063000,0.7236063,3.7695127E-04,1.9415233E-02
2601,1469.549,0.00146955,734.77465000,0.73477465,4.8625327E-04,2.2051152E-02
2611,1440.987,0.0014410,720.4934000,0.7204934,6.6437357E-04,2.5775446E-02
2621,1530.981,0.0015310,765.4907000,0.7654907,5.3327443E-04,2.3092736E-02
2631,1500.444,0.0015004,750.2221000,0.7502221,6.412452E-04,2.5322821E-02
2641,1477.474,0.00147747,738.73675000,0.73873675,4.1761633E-04,2.0435663E-02
2651,1546.193,0.00154619,773.09674000,0.77309674,5.439803E-04,2.3323385E-02
2661,1541.016,0.00154102,770.50817000,0.77050817,4.2077276E-04,2.0512747E-02
2671,1539.600,0.0015396,769.8002000,0.7698002,9.889455E-04,3.1447504E-02
2681,1503.876,0.0015039,751.9382000,0.7519382,5.7055335E-04,2.3886258E-02
2691,1563.716,0.001564,781.858000,0.781858,3.5217992E-04,1.8766457E-02
2701,1524.682,0.0015247,762.3408000,0.7623408,3.8110197E-04,1.9521832E-02
2711,1539.930,0.0015399,769.9648000,0.7699648,3.334586E-04,1.8260848E-02
2721,1559.854,0.00155985,779.92684000,0.77992684,4.9992406E-04,2.2358982E-02
2731,1513.675,0.00151368,756.83767000,0.75683767,5.3634396E-04,2.3159102E-02
2741,1571.061,0.0015711,785.5306000,0.7855306,6.380879E-04,2.5260402E-02
2751,1614.365,0.00161436,807.18225000,0.80718225,5.174327E-04,2.2747148E-02
2761,1589.697,0.0015897,794.8483000,0.7948483,4.2415602E-04,2.0595048E-02
2771,1600.215,0.0016002,800.1073000,0.8001073,8.2687073E-04,2.875536E-02
2781,1562.612,0.0015626,781.3061000,0.7813061,4.0641509E-04,2.015974E-02
2791,1558.971,0.00155897,779.48546000,0.77948546,4.3947628E-04,2.096369E-02
2801,1687.237,0.00168724,843.61845000,0.84361845,1.439728E-03,3.7943747E-02
2811,1619.941,0.0016199,809.9703000,0.8099703,4.889381E-04,2.2111945E-02
2821,1618.624,0.00161862,809.31216000,0.80931216,4.4419992E-04,2.1076052E-02
2831,1642.429,0.0016424,821.2143000,0.8212143,4.8140468E-04,2.1940935E-02
2841,1635.268,0.0016353,817.6338000,0.8176338,4.2176165E-04,2.0536836E-02
2851,1644.251,0.0016443,822.1257000,0.8221257,5.749017E-04,2.3977108E-02
2861,1636.051,0.00163605,818.02547000,0.81802547,5.486841E-04,2.3424007E-02
2871,1681.108,0.00168111,840.55406000,0.84055406,4.0991354E-04,2.0246321E-02
2881,1654.544,0.00165454,827.27206000,0.82727206,5.1416055E-04,2.2675108E-02
2891,1655.595,0.00165560,827.79765000,0.82779765,5.05671E-04,2.248713E-02
2901,1642.960,0.0016430,821.4801000,0.8214801,4.6813523E-04,2.1636432E-02
2911,1655.651,0.00165565,827.82555000,0.82782555,5.430531E-04,2.33035E-02
2921,1754.733,0.00175473,877.36636000,0.87736636,1.0098255E-03,3.177775E-02
2931,1710.192,0.00171019,855.09616000,0.85509616,4.0233223E-04,2.005822E-02
2941,1720.475,0.00172048,860.23766000,0.86023766,4.5389627E-04,2.1304842E-02
2951,1729.316,0.00172932,864.65776000,0.86465776,3.3172782E-04,1.8213397E-02
2961,1748.872,0.001749,874.436000,0.874436,4.0639503E-04,2.0159243E-02
2971,1684.766,0.0016848,842.3828000,0.8423828,5.001108E-04,2.2363158E-02
2981,1754.058,0.0017541,877.0288000,0.8770288,7.3171494E-04,2.705023E-02
2991,1708.180,0.00170818,854.09015000,0.85409015,5.722228E-04,2.3921179E-02
3001,1754.282,0.0017543,877.1411000,0.8771411,4.7827343E-04,2.1869464E-02
3011,1716.559,0.00171656,858.27965000,0.85827965,2.273569E-04,1.5078358E-02