n,each1e6,meanX1000, each, mean, variance, stdDev
301,7.992178E+01,2.3976535E+01,7.992178E-05,2.3976535E-02,1.6347093E-06,1.2785575E-03
311,8.38059E+01,2.514177E+01,8.38059E-05,2.514177E-02,1.6609432E-06,1.2887758E-03
321,7.864844E+01,2.3594532E+01,7.864844E-05,2.3594532E-02,1.6459239E-06,1.2829356E-03
331,9.059278E+01,2.7177835E+01,9.059278E-05,2.7177835E-02,1.5864932E-06,1.2595607E-03
341,9.0153444E+01,2.7046032E+01,9.0153444E-05,2.7046032E-02,4.0605705E-06,2.0150857E-03
351,8.920557E+01,2.676167E+01,8.920557E-05,2.676167E-02,1.2302173E-06,1.1091516E-03
361,1.0006356E+02,3.0019067E+01,1.0006356E-04,3.0019067E-02,1.4719915E-05,3.8366541E-03
371,9.9423756E+01,2.9827127E+01,9.9423756E-05,2.9827127E-02,3.743052E-06,1.9346969E-03
381,9.1819566E+01,2.754587E+01,9.1819566E-05,2.754587E-02,1.6701728E-06,1.2923516E-03
391,9.545067E+01,2.86352E+01,9.545067E-05,2.86352E-02,1.042661E-06,1.0211078E-03
401,1.03766106E+02,3.1129831E+01,1.03766106E-04,3.1129831E-02,2.0615107E-06,1.4357961E-03
411,1.0358222E+02,3.1074665E+01,1.0358222E-04,3.1074665E-02,1.3032543E-06,1.1416016E-03
421,1.0341765E+02,3.1025296E+01,1.0341765E-04,3.1025296E-02,6.4232727E-06,2.5344177E-03
431,1.0386855E+02,3.1160565E+01,1.0386855E-04,3.1160565E-02,2.247553E-06,1.4991842E-03
441,1.07716E+02,3.23148E+01,1.07716E-04,3.23148E-02,2.7671756E-06,1.663483E-03
451,1.1783555E+02,3.5350665E+01,1.1783555E-04,3.5350665E-02,3.1139416E-06,1.7646364E-03
461,1.1320356E+02,3.396107E+01,1.1320356E-04,3.396107E-02,2.0242794E-06,1.4227717E-03
471,1.2744713E+02,3.8234137E+01,1.2744713E-04,3.8234137E-02,4.5293855E-06,2.1282353E-03
481,1.2912732E+02,3.8738195E+01,1.2912732E-04,3.8738195E-02,3.101473E-06,1.7611E-03
491,1.4071731E+02,4.2215195E+01,1.4071731E-04,4.2215195E-02,5.8874602E-06,2.426409E-03
501,1.1976912E+02,3.5930738E+01,1.1976912E-04,3.5930738E-02,3.0723577E-06,1.7528142E-03
511,1.4283635E+02,4.2850904E+01,1.4283635E-04,4.2850904E-02,4.3751083E-06,2.091676E-03
521,1.5254645E+02,4.5763936E+01,1.5254645E-04,4.5763936E-02,5.7129415E-05,7.5584003E-03
531,1.4232086E+02,4.269626E+01,1.4232086E-04,4.269626E-02,3.9906017E-06,1.997649E-03
541,1.4079489E+02,4.2238466E+01,1.4079489E-04,4.2238466E-02,2.6339617E-06,1.6229484E-03
551,1.486241E+02,4.458723E+01,1.486241E-04,4.458723E-02,7.44153E-06,2.727917E-03
561,1.5685755E+02,4.7057267E+01,1.5685755E-04,4.7057267E-02,7.988167E-06,2.8263347E-03
571,1.4300179E+02,4.2900536E+01,1.4300179E-04,4.2900536E-02,3.947706E-06,1.9868833E-03
581,1.583939E+02,4.751817E+01,1.583939E-04,4.751817E-02,3.7801626E-06,1.944264E-03
591,1.6759412E+02,5.0278235E+01,1.6759412E-04,5.0278235E-02,7.5788103E-06,2.752964E-03
601,1.6155743E+02,4.846723E+01,1.6155743E-04,4.846723E-02,3.3742983E-06,1.8369263E-03
611,1.668431E+02,5.0052933E+01,1.668431E-04,5.0052933E-02,4.8105253E-06,2.193291E-03
621,1.7583069E+02,5.2749205E+01,1.7583069E-04,5.2749205E-02,3.0765761E-06,1.7540172E-03
631,1.7276588E+02,5.1829766E+01,1.7276588E-04,5.1829766E-02,2.9923574E-06,1.7298432E-03
641,1.7342455E+02,5.2027363E+01,1.7342455E-04,5.2027363E-02,3.060143E-06,1.7493265E-03
651,1.7476408E+02,5.242922E+01,1.7476408E-04,5.242922E-02,1.9712768E-06,1.4040216E-03
661,1.8628665E+02,5.5885993E+01,1.8628665E-04,5.5885993E-02,7.5449943E-06,2.7468153E-03
671,1.8187947E+02,5.456384E+01,1.8187947E-04,5.456384E-02,4.913146E-06,2.2165617E-03
681,1.7254813E+02,5.1764436E+01,1.7254813E-04,5.1764436E-02,3.3410665E-06,1.8278585E-03
691,1.8074787E+02,5.422436E+01,1.8074787E-04,5.422436E-02,6.4296473E-06,2.535675E-03
701,1.8682845E+02,5.6048535E+01,1.8682845E-04,5.6048535E-02,4.8339166E-06,2.198617E-03
711,1.8304633E+02,5.4913897E+01,1.8304633E-04,5.4913897E-02,3.3065985E-06,1.8184055E-03
721,2.0250613E+02,6.0751837E+01,2.0250613E-04,6.0751837E-02,7.4278582E-06,2.7254098E-03
731,2.0841966E+02,6.25259E+01,2.0841966E-04,6.25259E-02,3.2656908E-06,1.8071223E-03
741,2.0619489E+02,6.1858468E+01,2.0619489E-04,6.1858468E-02,5.7460647E-06,2.397095E-03
751,2.0150279E+02,6.0450837E+01,2.0150279E-04,6.0450837E-02,3.711567E-06,1.9265427E-03
761,1.99846E+02,5.99538E+01,1.99846E-04,5.99538E-02,5.1575325E-06,2.27102E-03
771,2.235241E+02,6.705723E+01,2.235241E-04,6.705723E-02,3.7356408E-06,1.9327806E-03
781,2.0771656E+02,6.2314965E+01,2.0771656E-04,6.2314965E-02,5.981238E-06,2.445657E-03
791,2.1014956E+02,6.304487E+01,2.1014956E-04,6.304487E-02,7.5576404E-06,2.7491164E-03
801,2.2066603E+02,6.619981E+01,2.2066603E-04,6.619981E-02,6.5981753E-06,2.5686913E-03
811,1.9840334E+02,5.9521005E+01,1.9840334E-04,5.9521005E-02,6.9146104E-06,2.6295646E-03
821,2.3112359E+02,6.933708E+01,2.3112359E-04,6.933708E-02,4.479884E-06,2.1165737E-03
831,2.2817923E+02,6.845377E+01,2.2817923E-04,6.845377E-02,5.7082075E-06,2.3891856E-03
841,2.2627965E+02,6.7883894E+01,2.2627965E-04,6.7883894E-02,2.6476196E-06,1.6271508E-03
851,2.3478242E+02,7.043473E+01,2.3478242E-04,7.043473E-02,5.801524E-06,2.4086353E-03
861,2.3808847E+02,7.142654E+01,2.3808847E-04,7.142654E-02,5.3177596E-06,2.3060269E-03
871,2.464021E+02,7.392063E+01,2.464021E-04,7.392063E-02,7.669782E-06,2.7694372E-03
881,2.33665E+02,7.00995E+01,2.33665E-04,7.00995E-02,3.3333968E-06,1.8257592E-03
891,2.3525834E+02,7.05775E+01,2.3525834E-04,7.05775E-02,4.266912E-06,2.0656504E-03
901,2.5750467E+02,7.72514E+01,2.5750467E-04,7.72514E-02,5.750272E-06,2.3979724E-03
911,2.4947678E+02,7.4843034E+01,2.4947678E-04,7.4843034E-02,5.9826725E-06,2.4459502E-03
921,2.4915652E+02,7.474696E+01,2.4915652E-04,7.474696E-02,4.3947794E-06,2.096373E-03
931,2.6975505E+02,8.0926515E+01,2.6975505E-04,8.0926515E-02,6.3288767E-06,2.5157258E-03
941,2.468918E+02,7.406754E+01,2.468918E-04,7.406754E-02,5.9081203E-06,2.4306625E-03
951,2.5101862E+02,7.530558E+01,2.5101862E-04,7.530558E-02,7.1727827E-06,2.678205E-03
961,2.6559772E+02,7.967932E+01,2.6559772E-04,7.967932E-02,8.341488E-06,2.8881633E-03
971,2.8380446E+02,8.514134E+01,2.8380446E-04,8.514134E-02,4.1557864E-06,2.0385745E-03
981,2.8058945E+02,8.417683E+01,2.8058945E-04,8.417683E-02,6.793125E-06,2.6063623E-03
991,2.6616323E+02,7.984897E+01,2.6616323E-04,7.984897E-02,5.704044E-06,2.388314E-03
1001,2.813281E+02,8.439843E+01,2.813281E-04,8.439843E-02,6.2131903E-06,2.4926271E-03
1011,2.7189645E+02,8.1568934E+01,2.7189645E-04,8.1568934E-02,6.5956224E-06,2.5681944E-03
1021,2.5779594E+02,7.733878E+01,2.5779594E-04,7.733878E-02,9.060814E-06,3.0101186E-03
1031,2.9258887E+02,8.777666E+01,2.9258887E-04,8.777666E-02,8.2147635E-06,2.8661408E-03
1041,3.122474E+02,9.367422E+01,3.122474E-04,9.367422E-02,7.3599876E-06,2.7129296E-03
1051,3.075341E+02,9.226023E+01,3.075341E-04,9.226023E-02,9.154441E-06,3.0256307E-03
1061,3.0169002E+02,9.0507E+01,3.0169002E-04,9.0507E-02,7.3408787E-06,2.7094055E-03
1071,3.041021E+02,9.123063E+01,3.041021E-04,9.123063E-02,7.014921E-06,2.6485696E-03
1081,2.9657723E+02,8.8973165E+01,2.9657723E-04,8.8973165E-02,7.413599E-06,2.7227926E-03
1091,2.885207E+02,8.655621E+01,2.885207E-04,8.655621E-02,7.1582494E-06,2.6754905E-03
1101,3.114132E+02,9.342396E+01,3.114132E-04,9.342396E-02,3.0761377E-05,5.546294E-03
1111,2.998842E+02,8.996526E+01,2.998842E-04,8.996526E-02,1.0850249E-05,3.2939715E-03
1121,2.8996094E+02,8.698828E+01,2.8996094E-04,8.698828E-02,6.6259477E-06,2.5740915E-03
1131,3.3924487E+02,101.77346000,3.3924487E-04,0.10177346,1.1791818E-05,3.4339216E-03
1141,3.2354984E+02,9.706496E+01,3.2354984E-04,9.706496E-02,8.941209E-06,2.9901855E-03
1151,2.954134E+02,8.862402E+01,2.954134E-04,8.862402E-02,7.687069E-06,2.7725564E-03
1161,3.1504268E+02,9.4512805E+01,3.1504268E-04,9.4512805E-02,9.625883E-06,3.1025608E-03
1171,3.4654484E+02,103.96345000,3.4654484E-04,0.10396345,1.0796355E-05,3.2857808E-03
1181,3.6443188E+02,109.32957000,3.6443188E-04,0.10932957,1.3672781E-05,3.6976724E-03
1191,3.2782825E+02,9.8348476E+01,3.2782825E-04,9.8348476E-02,1.4332649E-05,3.7858484E-03
1201,3.445639E+02,103.36917000,3.445639E-04,0.10336917,7.2493162E-06,2.6924554E-03
1211,3.4814334E+02,104.443000,3.4814334E-04,0.104443,1.556178E-05,3.944842E-03
1221,3.5849132E+02,107.547395000,3.5849132E-04,0.107547395,7.1280597E-06,2.6698427E-03
1231,3.4862623E+02,104.58787000,3.4862623E-04,0.10458787,1.4681584E-05,3.8316555E-03
1241,3.2476336E+02,9.742901E+01,3.2476336E-04,9.742901E-02,1.1849741E-05,3.4423452E-03
1251,3.7513144E+02,112.53943000,3.7513144E-04,0.11253943,1.1303582E-05,3.36208E-03
1261,3.4127626E+02,102.382876000,3.4127626E-04,0.102382876,6.2378763E-06,2.497574E-03
1271,3.6621626E+02,109.86488000,3.6621626E-04,0.10986488,1.3684734E-05,3.6992882E-03
1281,3.7574267E+02,112.7228000,3.7574267E-04,0.1127228,7.446732E-05,8.629445E-03
1291,3.7350267E+02,112.0508000,3.7350267E-04,0.1120508,9.182205E-06,3.0302154E-03
1301,3.7286468E+02,111.8594000,3.7286468E-04,0.1118594,7.637374E-06,2.76358E-03
1311,4.0241086E+02,120.72326000,4.0241086E-04,0.12072326,1.9490857E-05,4.4148453E-03
1321,3.7365608E+02,112.096824000,3.7365608E-04,0.112096824,1.6052001E-05,4.006495E-03
1331,3.7840402E+02,113.5212000,3.7840402E-04,0.1135212,1.7465598E-05,4.179186E-03
1341,3.604972E+02,108.149156000,3.604972E-04,0.108149156,8.728017E-06,2.9543217E-03
1351,3.9785885E+02,119.35765000,3.9785885E-04,0.11935765,1.1302972E-05,3.3619893E-03
1361,4.122814E+02,123.68442000,4.122814E-04,0.12368442,7.445894E-06,2.7287165E-03
1371,3.9135205E+02,117.405616000,3.9135205E-04,0.117405616,2.211354E-05,4.7025033E-03
1381,3.6405612E+02,109.21683000,3.6405612E-04,0.10921683,1.3844569E-05,3.720829E-03
1391,3.8741843E+02,116.225526000,3.8741843E-04,0.116225526,7.8632E-06,2.8041399E-03
1401,3.8768857E+02,116.30657000,3.8768857E-04,0.11630657,1.0632547E-05,3.2607587E-03
1411,4.1008746E+02,123.02624000,4.1008746E-04,0.12302624,1.1097859E-05,3.3313448E-03
1421,3.9904067E+02,119.712204000,3.9904067E-04,0.119712204,9.042797E-06,3.0071244E-03
1431,3.8783022E+02,116.349064000,3.8783022E-04,0.116349064,1.22029205E-05,3.4932678E-03
1441,3.9316315E+02,117.94894000,3.9316315E-04,0.11794894,1.9791109E-05,4.44872E-03
1451,4.2064293E+02,126.19288000,4.2064293E-04,0.12619288,1.0040135E-05,3.1686171E-03
1461,3.7724682E+02,113.17404000,3.7724682E-04,0.11317404,1.7281138E-05,4.157059E-03
1471,3.93487E+02,118.0461000,3.93487E-04,0.1180461,1.3349842E-05,3.6537435E-03
1481,4.3058846E+02,129.17654000,4.3058846E-04,0.12917654,1.8506626E-05,4.3019326E-03
1491,4.2138275E+02,126.41482000,4.2138275E-04,0.12641482,1.2787956E-05,3.5760251E-03
1501,4.1465345E+02,124.39603000,4.1465345E-04,0.12439603,2.5569423E-05,5.0566215E-03
1511,4.555276E+02,136.65828000,4.555276E-04,0.13665828,2.9460924E-05,5.4277917E-03
1521,4.5025404E+02,135.07621000,4.5025404E-04,0.13507621,2.738262E-05,5.232841E-03
1531,4.1264403E+02,123.79321000,4.1264403E-04,0.12379321,3.2491287E-05,5.700113E-03
1541,4.2954946E+02,128.86484000,4.2954946E-04,0.12886484,2.3657482E-05,4.863896E-03
1551,4.333169E+02,129.99506000,4.333169E-04,0.12999506,1.6427472E-05,4.053082E-03
1561,5.006612E+02,150.19836000,5.006612E-04,0.15019836,3.010305E-05,5.486625E-03
1571,4.7492166E+02,142.4765000,4.7492166E-04,0.1424765,2.44609E-05,4.945796E-03
1581,4.6202625E+02,138.60787000,4.6202625E-04,0.13860787,4.763824E-05,6.902046E-03
1591,4.446869E+02,133.40607000,4.446869E-04,0.13340607,3.3521894E-05,5.7898094E-03
1601,4.4267904E+02,132.80371000,4.4267904E-04,0.13280371,2.4429331E-05,4.942604E-03
1611,4.6554455E+02,139.66337000,4.6554455E-04,0.13966337,3.3425218E-05,5.7814545E-03
1621,4.8703467E+02,146.1104000,4.8703467E-04,0.1461104,2.8695033E-05,5.3567747E-03
1631,4.3725764E+02,131.17729000,4.3725764E-04,0.13117729,5.9729748E-05,7.728502E-03
1641,4.640048E+02,139.20145000,4.640048E-04,0.13920145,4.5283392E-05,6.7292936E-03
1651,4.5021117E+02,135.06335000,4.5021117E-04,0.13506335,3.7388065E-05,6.114578E-03
1661,4.887244E+02,146.61732000,4.887244E-04,0.14661732,3.738869E-05,6.114629E-03
1671,4.97916E+02,149.3748000,4.97916E-04,0.1493748,2.5179494E-05,5.017917E-03
1681,4.5242583E+02,135.72775000,4.5242583E-04,0.13572775,4.279026E-05,6.5414263E-03
1691,5.340803E+02,160.2241000,5.340803E-04,0.1602241,3.906935E-05,6.2505477E-03
1701,5.05588E+02,151.6764000,5.05588E-04,0.1516764,4.0728202E-05,6.381865E-03
1711,5.245358E+02,157.36073000,5.245358E-04,0.15736073,6.382056E-05,7.988777E-03
1721,5.044869E+02,151.34607000,5.044869E-04,0.15134607,3.140491E-05,5.604008E-03
1731,5.3192145E+02,159.57643000,5.3192145E-04,0.15957643,5.5039513E-05,7.418862E-03
1741,5.214468E+02,156.43404000,5.214468E-04,0.15643404,3.9411483E-05,6.2778564E-03
1751,4.787966E+02,143.63898000,4.787966E-04,0.14363898,3.1738447E-05,5.6336885E-03
1761,5.4082536E+02,162.24761000,5.4082536E-04,0.16224761,4.2343992E-05,6.5072263E-03
1771,5.015E+02,150.44999000,5.015E-04,0.15044999,3.236003E-05,5.6885877E-03
1781,5.146316E+02,154.38949000,5.146316E-04,0.15438949,3.6970232E-05,6.080315E-03
1791,5.525318E+02,165.75953000,5.525318E-04,0.16575953,2.7876958E-05,5.2798637E-03
1801,5.15704E+02,154.71119000,5.15704E-04,0.15471119,3.0755527E-05,5.5457666E-03
1811,5.697671E+02,170.93012000,5.697671E-04,0.17093012,3.4586534E-05,5.8810315E-03
1821,5.538254E+02,166.14762000,5.538254E-04,0.16614762,3.504947E-05,5.9202593E-03
1831,5.7973806E+02,173.92142000,5.7973806E-04,0.17392142,4.337788E-05,6.5861885E-03
1841,5.3636736E+02,160.9102000,5.3636736E-04,0.1609102,3.2715212E-05,5.7197213E-03
1851,5.464946E+02,163.94839000,5.464946E-04,0.16394839,4.3011558E-05,6.5583196E-03
1861,5.3980894E+02,161.94268000,5.3980894E-04,0.16194268,3.0253133E-05,5.500285E-03
1871,5.3156255E+02,159.46876000,5.3156255E-04,0.15946876,2.0610523E-05,4.5398814E-03
1881,5.7053694E+02,171.16109000,5.7053694E-04,0.17116109,3.713479E-05,6.093832E-03
1891,5.841759E+02,175.25278000,5.841759E-04,0.17525278,3.677668E-05,6.064378E-03
1901,5.863356E+02,175.90068000,5.863356E-04,0.17590068,4.6515797E-05,6.820249E-03
1911,5.815983E+02,174.4795000,5.815983E-04,0.1744795,4.8555343E-05,6.968166E-03
1921,5.802436E+02,174.07307000,5.802436E-04,0.17407307,4.670339E-05,6.833988E-03
1931,5.2630244E+02,157.89072000,5.2630244E-04,0.15789072,5.6568093E-05,7.5211762E-03
1941,6.165504E+02,184.96512000,6.165504E-04,0.18496512,9.0615795E-05,9.519232E-03
1951,5.791493E+02,173.74478000,5.791493E-04,0.17374478,5.9808335E-05,7.733585E-03
1961,6.1041414E+02,183.12424000,6.1041414E-04,0.18312424,8.296439E-05,9.108479E-03
1971,5.654915E+02,169.64746000,5.654915E-04,0.16964746,8.677135E-05,9.3151145E-03
1981,6.097832E+02,182.93497000,6.097832E-04,0.18293497,1.733843E-04,1.3167547E-02
1991,5.694017E+02,170.82052000,5.694017E-04,0.17082052,5.8717942E-05,7.6627634E-03
2001,6.029165E+02,180.87496000,6.029165E-04,0.18087496,1.0908927E-04,1.0444581E-02
2011,6.2190444E+02,186.57133000,6.2190444E-04,0.18657133,1.11296424E-04,1.0549712E-02
2021,6.2610325E+02,187.83098000,6.2610325E-04,0.18783098,8.1534636E-05,9.029653E-03
2031,6.892858E+02,206.78574000,6.892858E-04,0.20678574,6.242305E-04,2.4984606E-02
2041,5.92274E+02,177.6822000,5.92274E-04,0.1776822,1.0338876E-04,1.0168026E-02
2051,6.0181046E+02,180.54314000,6.0181046E-04,0.18054314,1.062095E-04,1.03058E-02
2061,6.248776E+02,187.46327000,6.248776E-04,0.18746327,1.1271757E-04,1.0616853E-02
2071,6.299008E+02,188.97024000,6.299008E-04,0.18897024,1.8658525E-04,1.3659622E-02
2081,6.49921E+02,194.9763000,6.49921E-04,0.1949763,1.2938624E-04,1.1374807E-02
2091,6.803501E+02,204.10503000,6.803501E-04,0.20410503,1.0337286E-04,1.0167245E-02
2101,6.78251E+02,203.4753000,6.78251E-04,0.2034753,1.0255134E-04,1.0126764E-02
2111,6.4223184E+02,192.66956000,6.4223184E-04,0.19266956,1.6406557E-04,1.2808808E-02
2121,6.6402653E+02,199.20796000,6.6402653E-04,0.19920796,1.0666867E-04,1.0328053E-02
2131,6.53584E+02,196.0752000,6.53584E-04,0.1960752,1.2543387E-04,1.1199727E-02
2141,6.036743E+02,181.1023000,6.036743E-04,0.1811023,9.169106E-05,9.575545E-03
2151,7.07962E+02,212.3886000,7.07962E-04,0.2123886,8.860967E-05,9.413271E-03
2161,6.673556E+02,200.20668000,6.673556E-04,0.20020668,8.619447E-05,9.284098E-03
2171,6.6709286E+02,200.12785000,6.6709286E-04,0.20012785,9.789664E-05,9.894273E-03
2181,6.550687E+02,196.52061000,6.550687E-04,0.19652061,1.1312813E-04,1.0636171E-02
2191,7.076739E+02,212.30218000,7.076739E-04,0.21230218,8.721568E-05,9.338934E-03
2201,6.7285844E+02,201.85754000,6.7285844E-04,0.20185754,9.764501E-05,9.881549E-03
2211,6.873596E+02,206.20789000,6.873596E-04,0.20620789,1.0692777E-04,1.0340588E-02
2221,6.717099E+02,201.51296000,6.717099E-04,0.20151296,1.386762E-04,1.1776086E-02
2231,6.570767E+02,197.123000,6.570767E-04,0.197123,1.0183148E-04,1.0091159E-02
2241,6.567062E+02,197.01187000,6.567062E-04,0.19701187,1.3226832E-04,1.1500796E-02
2251,7.3973904E+02,221.92171000,7.3973904E-04,0.22192171,1.6367265E-04,1.2793461E-02
2261,7.4079697E+02,222.23909000,7.4079697E-04,0.22223909,1.55982E-04,1.2489275E-02
2271,7.0175424E+02,210.52627000,7.0175424E-04,0.21052627,1.2256099E-04,1.1070726E-02
2281,6.9835194E+02,209.50559000,6.9835194E-04,0.20950559,8.208587E-05,9.060125E-03
2291,7.1849575E+02,215.54872000,7.1849575E-04,0.21554872,1.2974213E-04,1.139044E-02
2301,6.985169E+02,209.55507000,6.985169E-04,0.20955507,1.0810803E-04,1.0397501E-02
2311,7.1659236E+02,214.97771000,7.1659236E-04,0.21497771,1.5121282E-04,1.2296862E-02
2321,7.729244E+02,231.87731000,7.729244E-04,0.23187731,1.3362846E-04,1.1559778E-02
2331,7.396657E+02,221.89972000,7.396657E-04,0.22189972,1.2815493E-04,1.1320554E-02
2341,7.7507144E+02,232.52143000,7.7507144E-04,0.23252143,1.6712167E-04,1.2927555E-02
2351,7.4702245E+02,224.10674000,7.4702245E-04,0.22410674,1.6813928E-04,1.2966853E-02
2361,7.179311E+02,215.37933000,7.179311E-04,0.21537933,1.1791947E-04,1.0859073E-02
2371,7.8242394E+02,234.72719000,7.8242394E-04,0.23472719,1.19345896E-04,1.0924554E-02
2381,7.254272E+02,217.62815000,7.254272E-04,0.21762815,1.4986093E-04,1.22417705E-02
2391,7.3917146E+02,221.75144000,7.3917146E-04,0.22175144,1.1965501E-04,1.0938693E-02
2401,7.5052865E+02,225.1586000,7.5052865E-04,0.2251586,1.7722609E-04,1.33126285E-02
2411,7.2733883E+02,218.20165000,7.2733883E-04,0.21820165,2.0025247E-04,1.4151059E-02
2421,8.2096003E+02,246.28802000,8.2096003E-04,0.24628802,1.6417139E-04,1.2812939E-02
2431,7.495829E+02,224.87487000,7.495829E-04,0.22487487,1.4447066E-04,1.2019595E-02
2441,7.699614E+02,230.98841000,7.699614E-04,0.23098841,1.2518537E-04,1.1188626E-02
2451,7.616429E+02,228.49287000,7.616429E-04,0.22849287,1.6268606E-04,1.27548445E-02
2461,8.386521E+02,251.59562000,8.386521E-04,0.25159562,1.978001E-04,1.40641425E-02
2471,8.2722376E+02,248.16713000,8.2722376E-04,0.24816713,6.8972685E-04,2.626265E-02
2481,8.3485316E+02,250.45595000,8.3485316E-04,0.25045595,1.7079075E-04,1.3068694E-02
2491,7.8965665E+02,236.89699000,7.8965665E-04,0.23689699,1.4940057E-04,1.2222952E-02
2501,7.956501E+02,238.69504000,7.956501E-04,0.23869504,1.5156E-04,1.2310971E-02
2511,8.2493195E+02,247.47959000,8.2493195E-04,0.24747959,1.5281096E-04,1.2361673E-02
2521,8.4719993E+02,254.16000,8.4719993E-04,0.25416,1.904575E-04,1.3800634E-02
2531,8.07854E+02,242.3562000,8.07854E-04,0.2423562,1.1760748E-04,1.0844698E-02
2541,8.164749E+02,244.94247000,8.164749E-04,0.24494247,9.84591E-05,9.922656E-03
2551,8.1977545E+02,245.93264000,8.1977545E-04,0.24593264,1.381663E-04,1.1754416E-02
2561,8.620513E+02,258.6154000,8.620513E-04,0.2586154,1.3877139E-04,1.1780127E-02
2571,7.787795E+02,233.63385000,7.787795E-04,0.23363385,1.662719E-04,1.2894646E-02
2581,8.160346E+02,244.81039000,8.160346E-04,0.24481039,9.790877E-05,9.894886E-03
2591,7.587981E+02,227.63944000,7.587981E-04,0.22763944,1.0191218E-04,1.0095156E-02
2601,8.2400383E+02,247.20114000,8.2400383E-04,0.24720114,1.4585038E-04,1.2076853E-02
2611,8.2778424E+02,248.33527000,8.2778424E-04,0.24833527,1.7890899E-04,1.33756865E-02
2621,8.6554507E+02,259.66352000,8.6554507E-04,0.25966352,2.2849676E-04,1.51161095E-02
2631,8.2469644E+02,247.40894000,8.2469644E-04,0.24740894,1.3136156E-04,1.1461307E-02
2641,7.740812E+02,232.22436000,7.740812E-04,0.23222436,1.09561006E-04,1.0467139E-02
2651,9.4285986E+02,282.85795000,9.4285986E-04,0.28285795,1.9916121E-04,1.4112448E-02
2661,8.5882895E+02,257.64868000,8.5882895E-04,0.25764868,1.6367908E-04,1.2793712E-02
2671,7.873088E+02,236.19263000,7.873088E-04,0.23619263,1.3547271E-04,1.1639275E-02
2681,9.312513E+02,279.3754000,9.312513E-04,0.2793754,1.732773E-04,1.3163484E-02
2691,8.988965E+02,269.66894000,8.988965E-04,0.26966894,1.7293781E-04,1.3150582E-02
2701,8.827698E+02,264.83095000,8.827698E-04,0.26483095,1.8895E-04,1.3745909E-02
2711,9.0358994E+02,271.07698000,9.0358994E-04,0.27107698,1.401612E-04,1.183897E-02
2721,8.650726E+02,259.52178000,8.650726E-04,0.25952178,1.2838001E-04,1.133049E-02
2731,9.571259E+02,287.13778000,9.571259E-04,0.28713778,1.6966472E-04,1.3025541E-02
2741,9.289873E+02,278.69618000,9.289873E-04,0.27869618,1.8384507E-04,1.3558948E-02
2751,9.521367E+02,285.641000,9.521367E-04,0.285641,1.1598002E-04,1.0769403E-02
2761,9.2196313E+02,276.58895000,9.2196313E-04,0.27658895,1.8962707E-04,1.3770514E-02
2771,9.769927E+02,293.0978000,9.769927E-04,0.2930978,1.5581051E-04,1.2482408E-02
2781,9.712064E+02,291.36193000,9.712064E-04,0.29136193,2.501902E-04,1.5817402E-02
2791,9.6851E+02,290.553000,9.6851E-04,0.290553,1.5354247E-04,1.2391225E-02
2801,9.3504955E+02,280.51487000,9.3504955E-04,0.28051487,1.4106506E-04,1.1877081E-02
2811,9.302248E+02,279.06743000,9.302248E-04,0.27906743,1.6433214E-04,1.281921E-02
2821,9.912613E+02,297.3784000,9.912613E-04,0.2973784,2.960242E-04,1.7205354E-02
2831,8.623143E+02,258.6943000,8.623143E-04,0.2586943,1.8582398E-04,1.3631728E-02
2841,9.3634386E+02,280.90316000,9.3634386E-04,0.28090316,2.058541E-04,1.4347617E-02
2851,8.560536E+02,256.8161000,8.560536E-04,0.2568161,1.249135E-04,1.1176471E-02
2861,9.398496E+02,281.95488000,9.398496E-04,0.28195488,1.946904E-04,1.395315E-02
2871,1.028473E+03,308.5419000,1.028473E-03,0.3085419,1.4472114E-04,1.203001E-02
2881,9.2793396E+02,278.3802000,9.2793396E-04,0.2783802,1.5372582E-04,1.2398622E-02
2891,9.6847233E+02,290.5417000,9.6847233E-04,0.2905417,2.0622453E-04,1.436052E-02
2901,8.8077795E+02,264.23338000,8.8077795E-04,0.26423338,1.1640544E-04,1.07891355E-02
2911,9.572207E+02,287.1662000,9.572207E-04,0.2871662,1.901705E-04,1.3790232E-02
2921,9.786368E+02,293.59105000,9.786368E-04,0.29359105,2.6657374E-04,1.6327087E-02
2931,8.8971993E+02,266.91598000,8.8971993E-04,0.26691598,1.0795324E-04,1.0390054E-02
2941,9.887245E+02,296.61736000,9.887245E-04,0.29661736,1.2650782E-04,1.124757E-02
2951,9.763183E+02,292.8955000,9.763183E-04,0.2928955,1.3489649E-04,1.1614495E-02
2961,1.0019982E+03,300.59946000,1.0019982E-03,0.30059946,3.9187065E-04,1.9795723E-02
2971,1.0168123E+03,305.0437000,1.0168123E-03,0.3050437,1.287057E-04,1.1344853E-02
2981,9.5374376E+02,286.12313000,9.5374376E-04,0.28612313,1.9560684E-04,1.3985951E-02
2991,1.007837E+03,302.35112000,1.007837E-03,0.30235112,1.8654976E-04,1.3658322E-02
3001,1.0937976E+03,328.13928000,1.0937976E-03,0.32813928,1.2392324E-04,1.1132081E-02
3011,1.0414015E+03,312.42046000,1.0414015E-03,0.31242046,1.5941136E-04,1.2625821E-02