n,m, mean, variance, stdDev
11,1.6343333E-04,1.6343333E-04,5.1748454E-09,7.1936396E-05
21,0.000312009084545455,3.9873333E-04,2.8843286E-09,5.3705946E-05
31,0.000460584839090909,7.8103325E-04,8.112099E-09,9.0067195E-05
41,0.000609160593636364,1.243E-03,1.2831266E-08,1.1327518E-04
51,0.000757736348181818,1.7120001E-03,6.1218004E-09,7.824194E-05
61,0.000906312102727273,2.1744336E-03,9.4117105E-09,9.701397E-05
71,0.00105488785727273,2.7671E-03,1.5636716E-07,3.9543287E-04
81,0.00120346361181818,3.3576332E-03,1.5463986E-07,3.9324275E-04
91,0.00135203936636364,4.492267E-03,9.1885575E-08,3.0312635E-04
101,0.00150061512090909,5.187568E-03,2.6611917E-07,5.158674E-04
111,0.00164919087545455,5.788566E-03,6.424299E-08,2.53462E-04
121,0.00179776663,7.0046335E-03,8.928451E-08,2.9880513E-04
131,0.00194634238454545,7.7352007E-03,1.0017224E-07,3.1649997E-04
141,0.00209491813909091,9.5200995E-03,4.5463074E-07,6.742631E-04
151,0.00224349389363636,1.02521675E-02,5.2369364E-07,7.236668E-04
161,0.00239206964818182,1.1634201E-02,1.0521856E-07,3.243741E-04
171,0.00254064540272727,1.2697166E-02,8.7882324E-07,9.3745574E-04
181,0.00268922115727273,1.36909E-02,1.13727296E-07,3.372348E-04
191,0.00283779691181818,1.6057132E-02,9.701068E-07,9.8494E-04
201,0.00298637266636364,1.73093E-02,1.8963065E-07,4.3546603E-04
211,0.00313494842090909,1.862427E-02,4.2926993E-07,6.5518694E-04
221,0.00328352417545455,2.0611536E-02,4.1488883E-07,6.4411864E-04
231,0.00343209993,2.27816E-02,5.179341E-07,7.196764E-04
241,0.00358067568454545,2.5035134E-02,8.0141456E-07,8.952176E-04
251,0.00372925143909091,2.7373035E-02,6.704612E-06,2.5893266E-03
261,0.00387782719363636,2.6330331E-02,7.3128524E-07,8.5515215E-04
271,0.00402640294818182,3.2321192E-02,7.1592144E-06,2.675671E-03
281,0.00417497870272727,3.4421068E-02,4.610133E-06,2.147122E-03
291,0.00432355445727273,3.5143737E-02,4.892348E-06,2.2118653E-03
301,0.00447213021181818,3.710253E-02,1.2048237E-05,3.4710572E-03
311,0.00462070596636364,4.0188406E-02,5.0344443E-06,2.2437568E-03
321,0.00476928172090909,4.34311E-02,6.7295778E-06,2.594143E-03
331,0.00491785747545455,4.441537E-02,4.2951783E-06,2.0724812E-03
341,0.00506643323,4.8239935E-02,4.738462E-06,2.1768007E-03
351,0.00521500898454545,4.896256E-02,1.016519E-05,3.1882895E-03
361,0.00536358473909091,5.212407E-02,5.100815E-06,2.2584985E-03
371,0.00551216049363636,5.6155138E-02,1.11357285E-05,3.337024E-03
381,0.00566073624818182,5.9140038E-02,9.273968E-06,3.045319E-03
391,0.00580931200272727,6.0228404E-02,1.1213465E-05,3.348651E-03
401,0.00595788775727273,6.452733E-02,1.0539413E-05,3.2464461E-03
411,0.00610646351181818,6.6049196E-02,1.4735544E-05,3.8386905E-03
421,0.00625503926636364,6.916948E-02,1.55457E-05,3.9428035E-03
431,0.00640361502090909,7.3108636E-02,1.4235722E-05,3.7730257E-03
441,0.00655219077545455,7.601115E-02,1.0489393E-05,3.2387334E-03
451,0.00670076653,7.990501E-02,1.6456506E-05,4.056662E-03
461,0.00684934228454545,8.529023E-02,1.1039729E-05,3.3226088E-03
471,0.00699791803909091,8.6104885E-02,2.230105E-05,4.7223987E-03
481,0.00714649379363636,9.19977E-02,1.7526709E-05,4.186491E-03
491,0.00729506954818182,9.234721E-02,2.2309638E-05,4.723308E-03
501,0.00744364530272727,9.288461E-02,1.5157783E-05,3.8932997E-03
511,0.00759222105727273,0.100372955,2.2133121E-05,4.7045853E-03
521,0.00774079681181818,9.984363E-02,1.8556088E-05,4.307678E-03
531,0.00788937256636364,0.103778444,1.6033866E-05,4.004231E-03
541,0.00803794832090909,0.10557987,1.7246797E-05,4.152926E-03
551,0.00818652407545455,0.11044109,1.8335084E-05,4.281949E-03
561,0.00833509983,0.11989118,2.2011267E-05,4.6916166E-03
571,0.00848367558454545,0.11865778,2.0499067E-05,4.5275893E-03
581,0.00863225133909091,0.12607446,1.716813E-05,4.1434444E-03
591,0.00878082709363636,0.12892748,1.9502018E-05,4.416109E-03
601,0.00892940284818182,0.1320412,2.4947285E-05,4.994726E-03
611,0.00907797860272727,0.13605689,1.7342472E-05,4.1644294E-03
621,0.00922655435727273,0.13740917,3.1511147E-05,5.613479E-03
631,0.00937513011181818,0.14847714,4.0782008E-05,6.3860794E-03
641,0.00952370586636364,0.15182273,5.2400846E-05,7.238843E-03
651,0.00967228162090909,0.14931746,2.3999077E-05,4.8988853E-03
661,0.00982085737545455,0.15759887,4.17682E-05,6.462832E-03
671,0.00996943313,0.15936355,2.3625089E-05,4.8605646E-03
681,0.0101180088845455,0.17201513,3.143565E-05,5.6067505E-03
691,0.0102665846390909,0.17132983,2.1541297E-05,4.64126E-03
701,0.0104151603936364,0.17719205,3.7830254E-05,6.1506303E-03
711,0.0105637361481818,0.17301844,2.3872568E-05,4.885956E-03
721,0.0107123119027273,0.18110459,3.3739645E-05,5.808584E-03
731,0.0108608876572727,0.18776096,6.7146844E-05,8.194318E-03
741,0.0110094634118182,0.18947116,4.4662655E-05,6.6830125E-03
751,0.0111580391663636,0.19712123,2.5260812E-05,5.0260136E-03
761,0.0113066149209091,0.2126158,3.7479454E-05,6.1220466E-03
771,0.0114551906754545,0.21781251,4.8084734E-05,6.934316E-03
781,0.01160376643,0.21910484,3.800177E-05,6.1645578E-03
791,0.0117523421845455,0.21987048,5.660064E-05,7.5233397E-03
801,0.0119009179390909,0.22689132,5.8420057E-05,7.6433015E-03
811,0.0120494936936364,0.23339392,3.6850815E-05,6.070487E-03
821,0.0121980694481818,0.23792557,4.0570812E-05,6.3695223E-03
831,0.0123466452027273,0.2432902,8.153954E-05,9.029925E-03
841,0.0124952209572727,0.26176745,5.1306895E-05,7.162883E-03
851,0.0126437967118182,0.25715622,5.5148757E-05,7.426221E-03
861,0.0127923724663636,0.26253292,4.824174E-05,6.9456277E-03
871,0.0129409482209091,0.26279953,4.128894E-05,6.425647E-03
881,0.0130895239754545,0.26866812,5.192548E-05,7.205934E-03
891,0.01323809973,0.27956063,5.7424568E-05,7.5779E-03
901,0.0133866754845455,0.28565758,5.36515E-05,7.3247184E-03
911,0.0135352512390909,0.29531887,8.731684E-05,9.344348E-03
921,0.0136838269936364,0.30418614,5.410794E-05,7.3558097E-03
931,0.0138324027481818,0.30194724,4.4536413E-05,6.673561E-03
941,0.0139809785027273,0.30862695,5.3748765E-05,7.331355E-03
951,0.0141295542572727,0.32295826,6.808918E-05,8.251617E-03
961,0.0142781300118182,0.31782696,4.9437494E-05,7.03118E-03
971,0.0144267057663636,0.32349184,5.372564E-05,7.3297773E-03
981,0.0145752815209091,0.32509083,6.866935E-05,8.286698E-03
991,0.0147238572754545,0.33995393,6.8315254E-05,8.265304E-03
1001,0.01487243303,0.35181406,6.1521394E-05,7.843558E-03
1011,0.0150210087845455,0.3649936,6.44608E-05,8.028748E-03
1021,0.0151695845390909,0.37123278,1.3210668E-04,1.1493767E-02
1031,0.0153181602936364,0.37221116,2.0631084E-04,1.43635245E-02
1041,0.0154667360481818,0.39981717,1.1383456E-04,1.0669328E-02
1051,0.0156153118027273,0.3890876,7.7703524E-05,8.81496E-03
1061,0.0157638875572727,0.4084253,8.953554E-05,9.462322E-03
1071,0.0159124633118182,0.40058643,9.938562E-05,9.969234E-03
1081,0.0160610390663636,0.41731268,8.314138E-05,9.118189E-03
1091,0.0162096148209091,0.43394437,1.1937832E-04,1.0926039E-02
1101,0.0163581905754545,0.43291682,9.268486E-05,9.6272975E-03
1111,0.01650676633,0.4440677,7.069684E-05,8.408141E-03
1121,0.0166553420845455,0.44995698,1.432605E-04,1.1969148E-02
1131,0.0168039178390909,0.46724194,1.0328602E-04,1.0162973E-02
1141,0.0169524935936364,0.46223336,8.874284E-05,9.420342E-03
1151,0.0171010693481818,0.47062302,1.344434E-04,1.1594973E-02
1161,0.0172496451027273,0.4846105,9.949385E-05,9.97466E-03
1171,0.0173982208572727,0.4900823,1.0482196E-04,1.0238259E-02
1181,0.0175467966118182,0.4909092,8.038504E-05,8.965771E-03
1191,0.0176953723663636,0.501654,1.828128E-04,1.3520828E-02
1201,0.0178439481209091,0.51249903,1.0463472E-04,1.0229112E-02
1211,0.0179925238754545,0.5282823,9.093464E-05,9.5359655E-03
1221,0.01814109963,0.52710545,8.742631E-05,9.350204E-03
1231,0.0182896753845455,0.5323358,9.297755E-05,9.642486E-03
1241,0.0184382511390909,0.54806906,1.2114164E-04,1.1006436E-02
1251,0.0185868268936364,0.55508393,1.252436E-04,1.1191229E-02
1261,0.0187354026481818,0.5505789,1.12627466E-04,1.0612609E-02
1271,0.0188839784027273,0.5722443,1.4493089E-04,1.20387245E-02
1281,0.0190325541572727,0.5828239,1.0031886E-04,1.001593E-02
1291,0.0191811299118182,0.57673365,1.3349896E-04,1.1554175E-02
1301,0.0193297056663636,0.5868422,1.2114878E-04,1.100676E-02
1311,0.0194782814209091,0.59912735,1.2435317E-04,1.1151375E-02
1321,0.0196268571754545,0.61004454,1.8813163E-04,1.3716108E-02
1331,0.01977543293,0.6391811,1.5045305E-04,1.2265931E-02
1341,0.0199240086845455,0.6368877,1.3602393E-04,1.1662929E-02
1351,0.0200725844390909,0.6480145,1.8420446E-04,1.3572195E-02
1361,0.0202211601936364,0.6419379,1.4038554E-04,1.184844E-02
1371,0.0203697359481818,0.66484916,2.0534237E-04,1.4329772E-02
1381,0.0205183117027273,0.6700581,1.9441512E-04,1.3943282E-02
1391,0.0206668874572727,0.6679484,1.16549854E-04,1.0795826E-02
1401,0.0208154632118182,0.67777807,1.7949435E-04,1.339755E-02
1411,0.0209640389663636,0.6984804,2.138017E-04,1.462196E-02
1421,0.0211126147209091,0.6675217,1.5658933E-04,1.2513566E-02
1431,0.0212611904754545,0.7010823,1.8405908E-04,1.3566838E-02
1441,0.02140976623,0.7326516,1.7673102E-04,1.3294022E-02
1451,0.0215583419845455,0.734424,1.6310847E-04,1.2771393E-02
1461,0.0217069177390909,0.7528671,1.5411917E-04,1.2414474E-02
1471,0.0218554934936364,0.7633347,1.3795681E-04,1.1745502E-02
1481,0.0220040692481818,0.7609072,1.7259143E-04,1.3137406E-02
1491,0.0221526450027273,0.7717852,2.5166673E-04,1.5864007E-02
1501,0.0223012207572727,0.7752792,1.6966295E-04,1.3025473E-02
1511,0.0224497965118182,0.8049802,1.6930763E-04,1.3011827E-02
1521,0.0225983722663636,0.79067487,1.6404269E-04,1.2807915E-02
1531,0.0227469480209091,0.8295755,2.1738287E-04,1.4743909E-02
1541,0.0228955237754545,0.84612983,2.387872E-04,1.5452741E-02
1551,0.02304409953,0.8300544,2.0861074E-04,1.4443363E-02
1561,0.0231926752845455,0.8592958,3.7976343E-04,1.948752E-02
1571,0.0233412510390909,0.86316943,5.5385043E-04,2.3534028E-02
1581,0.0234898267936364,0.86422986,1.17706266E-04,1.0849251E-02
1591,0.0236384025481818,0.86542416,2.013903E-04,1.4191205E-02
1601,0.0237869783027273,0.91209966,1.9953723E-04,1.4125764E-02
1611,0.0239355540572727,0.8908574,2.0595407E-04,1.43511E-02
1621,0.0240841298118182,0.9055875,2.3088837E-04,1.5195011E-02
1631,0.0242327055663636,0.9341561,1.549135E-04,1.2446425E-02
1641,0.0243812813209091,0.93449956,2.1131145E-04,1.4536556E-02
1651,0.0245298570754545,0.9622444,2.7263787E-04,1.651175E-02
1661,0.02467843283,0.9640935,2.1341714E-04,1.4608803E-02
1671,0.0248270085845455,0.9746863,1.4904235E-04,1.220829E-02
1681,0.0249755843390909,0.9670016,2.941109E-04,1.7149663E-02
1691,0.0251241600936364,0.97159463,2.2166106E-04,1.4888286E-02
1701,0.0252727358481818,1.0013134,2.2219827E-04,1.4906316E-02
1711,0.0254213116027273,0.9792837,1.8642675E-04,1.36538185E-02
1721,0.0255698873572727,1.0117993,2.4096247E-04,1.5522966E-02
1731,0.0257184631118182,1.0241313,2.0390569E-04,1.4279555E-02
1741,0.0258670388663636,1.0370564,1.9249682E-04,1.3874322E-02
1751,0.0260156146209091,1.0499593,3.2362618E-04,1.7989613E-02
1761,0.0261641903754545,1.062213,2.1180681E-04,1.4553584E-02
1771,0.02631276613,1.0691456,1.6597431E-04,1.2883102E-02
1781,0.0264613418845455,1.0694836,2.0297195E-04,1.4246822E-02
1791,0.0266099176390909,1.0756785,2.0483296E-04,1.4311987E-02
1801,0.0267584933936364,1.1377232,1.6419409E-04,1.2813824E-02
1811,0.0269070691481818,1.1625512,2.3530918E-04,1.5339791E-02
1821,0.0270556449027273,1.1157745,2.5023345E-04,1.581877E-02
1831,0.0272042206572727,1.1341177,1.9710354E-04,1.4039357E-02
1841,0.0273527964118182,1.1555485,3.789626E-04,1.9466963E-02
1851,0.0275013721663636,1.1854626,1.626154E-04,1.2752074E-02
1861,0.0276499479209091,1.1861904,1.935242E-04,1.3911298E-02
1871,0.0277985236754545,1.1876918,1.970141E-04,1.4036171E-02
1881,0.02794709943,1.1820996,2.7538784E-04,1.6594814E-02
1891,0.0280956751845455,1.2424152,5.6900457E-04,2.3853816E-02
1901,0.0282442509390909,1.2298111,1.8730815E-04,1.3686057E-02
1911,0.0283928266936364,1.2189459,7.8786275E-04,2.8068893E-02
1921,0.0285414024481818,1.3016456,3.4613814E-04,1.8604789E-02
1931,0.0286899782027273,1.2965099,4.980705E-04,2.2317493E-02
1941,0.0288385539572727,1.2842336,4.5517416E-04,2.133481E-02
1951,0.0289871297118182,1.320789,1.04504674E-04,1.0222753E-02
1961,0.0291357054663636,1.2958018,1.754472E-04,1.3245649E-02
1971,0.0292842812209091,1.3257897,1.8234858E-04,1.350365E-02
1981,0.0294328569754545,1.3743443,6.344524E-04,2.5188338E-02
1991,0.02958143273,1.4131957,1.0340402E-03,3.2156497E-02
2001,0.0297300084845455,1.4242915,5.4374867E-04,2.331842E-02
2011,0.0298785842390909,1.4126934,3.2127874E-03,5.6681454E-02
2021,0.0300271599936364,1.4623947,3.8523923E-03,6.2067643E-02
2031,0.0301757357481818,1.4407808,3.749463E-03,6.1232857E-02
2041,0.0303243115027273,1.4393082,2.0776107E-03,4.5580816E-02
2051,0.0304728872572727,1.4768516,1.5285718E-03,3.9096955E-02
2061,0.0306214630118182,1.4860843,2.44026E-04,1.56213315E-02
2071,0.0307700387663636,1.5155262,2.2741746E-04,1.5080367E-02
2081,0.0309186145209091,1.4809978,1.8676653E-04,1.3666255E-02
2091,0.0310671902754545,1.5036438,1.620614E-04,1.2730334E-02
2101,0.03121576603,1.5493127,5.501951E-03,7.4175134E-02
2111,0.0313643417845455,1.5367082,2.5075587E-04,1.5835272E-02
2121,0.0315129175390909,1.5903155,2.2978951E-04,1.515881E-02
2131,0.0316614932936364,1.5794905,2.590739E-04,1.6095772E-02
2141,0.0318100690481818,1.537912,2.1706842E-04,1.4733242E-02
2151,0.0319586448027273,1.6066428,2.2100547E-04,1.4866252E-02
2161,0.0321072205572727,1.5937485,6.306673E-04,2.511309E-02
2171,0.0322557963118182,1.6259041,2.9834994E-04,1.727281E-02
2181,0.0324043720663636,1.6768662,1.5582283E-04,1.2482901E-02
2191,0.0325529478209091,1.6903503,2.1433759E-04,1.4640273E-02
2201,0.0327015235754545,1.6746471,2.4842148E-04,1.5761392E-02
2211,0.03285009933,1.7192672,2.2030996E-04,1.4842842E-02
2221,0.0329986750845455,1.7083455,9.461643E-04,3.0759783E-02
2231,0.0331472508390909,1.70277,1.9350176E-04,1.3910491E-02
2241,0.0332958265936364,1.7072465,7.284796E-04,2.6990362E-02
2251,0.0334444023481818,1.7727648,1.3215918E-04,1.1496051E-02
2261,0.0335929781027273,1.773503,2.2491293E-04,1.4997098E-02
2271,0.0337415538572727,1.7720597,1.9276471E-04,1.38839735E-02
2281,0.0338901296118182,1.8290735,1.1898407E-03,3.449407E-02
2291,0.0340387053663636,1.8735101,6.7531836E-04,2.5986888E-02
2301,0.0341872811209091,1.9344604,4.0925764E-03,6.397325E-02
2311,0.0343358568754545,1.9409152,4.6052793E-03,6.7862205E-02
2321,0.03448443263,1.9065986,4.374762E-04,2.0915931E-02
2331,0.0346330083845455,1.9157712,3.7367523E-04,1.933068E-02
2341,0.0347815841390909,1.9174501,5.7932157E-05,7.6113176E-03
2351,0.0349301598936364,1.8972743,5.114144E-05,7.1513243E-03
2361,0.0350787356481818,1.9843993,1.1778562E-04,1.0852908E-02
2371,0.0352273114027273,1.961168,8.6063123E-04,2.9336518E-02
2381,0.0353758871572727,1.9701152,1.0179093E-03,3.190469E-02
2391,0.0355244629118182,2.0013874,9.140371E-05,9.560528E-03
2401,0.0356730386663636,2.017083,9.5310344E-05,9.762702E-03
2411,0.0358216144209091,2.0427253,5.713402E-04,2.3902724E-02
2421,0.0359701901754545,1.9958167,8.8071385E-05,9.384636E-03
2431,0.03611876593,2.025398,4.972979E-04,2.2300178E-02
2441,0.0362673416845455,2.0491345,5.9347585E-05,7.7037383E-03
2451,0.0364159174390909,2.0900605,5.730708E-05,7.570144E-03
2461,0.0365644931936364,2.0596137,9.32468E-05,9.656439E-03
2471,0.0367130689481818,2.1486146,1.5506592E-04,1.24525465E-02
2481,0.0368616447027273,2.1713288,1.3017434E-03,3.6079682E-02
2491,0.0370102204572727,2.1661687,6.341449E-05,7.963321E-03
2501,0.0371587962118182,2.1443248,1.4981421E-04,1.2239861E-02
2511,0.0373073719663636,2.1943638,6.683667E-04,2.5852788E-02
2521,0.0374559477209091,2.1426985,1.3495727E-04,1.1617111E-02
2531,0.0376045234754545,2.2454925,6.198181E-04,2.4896147E-02
2541,0.03775309923,2.2803464,1.0614099E-04,1.0302475E-02
2551,0.0379016749845455,2.2544706,8.357271E-05,9.141811E-03
2561,0.0380502507390909,2.2399712,5.4876495E-04,2.3425732E-02
2571,0.0381988264936364,2.3221095,2.083008E-03,4.563998E-02
2581,0.0383474022481818,2.3228853,1.03250604E-04,1.016123E-02
2591,0.0384959780027273,2.385431,4.7061414E-05,6.8601323E-03
2601,0.0386445537572727,2.3787432,1.6497026E-04,1.28440745E-02
2611,0.0387931295118182,2.3908584,9.099104E-04,3.0164722E-02
2621,0.0389417052663636,2.409311,5.43566E-05,7.3726927E-03
2631,0.0390902810209091,2.4169273,7.402095E-05,8.603543E-03
2641,0.0392388567754545,2.483241,1.05841646E-04,1.0287937E-02
2651,0.03938743253,2.4675047,2.0167378E-03,4.4908103E-02
2661,0.0395360082845455,2.4856267,1.0844875E-04,1.0413873E-02
2671,0.0396845840390909,2.5220082,5.79933E-04,2.4081798E-02
2681,0.0398331597936364,2.4973357,1.5563512E-04,1.2475381E-02
2691,0.0399817355481818,2.528779,5.739992E-04,2.395828E-02
2701,0.0401303113027273,2.5808828,8.5871856E-05,9.266707E-03
2711,0.0402788870572727,2.5177965,1.2011836E-04,1.09598525E-02
2721,0.0404274628118182,2.6674771,1.4556322E-04,1.2064958E-02
2731,0.0405760385663636,2.6505816,1.4070597E-03,3.7510794E-02
2741,0.0407246143209091,2.601606,7.776497E-05,8.818445E-03
2751,0.0408731900754545,2.6474376,9.934989E-05,9.967442E-03
2761,0.04102176583,2.7130306,1.6573165E-04,1.287368E-02
2771,0.0411703415845455,2.7317235,9.5405395E-04,3.0887764E-02
2781,0.0413189173390909,2.7556844,8.086763E-05,8.992643E-03
2791,0.0414674930936364,2.6986823,1.2484448E-04,1.1173382E-02
2801,0.0416160688481818,2.7215047,1.148598E-03,3.3890974E-02
2811,0.0417646446027273,2.7827985,2.360433E-04,1.5363701E-02
2821,0.0419132203572727,2.8233173,9.7390416E-04,3.1207437E-02
2831,0.0420617961118182,2.796167,1.6096763E-04,1.2687302E-02
2841,0.0422103718663636,2.8669765,4.067698E-03,6.3778505E-02
2851,0.0423589476209091,2.8260455,7.8289426E-04,2.7980248E-02
2861,0.0425075233754545,2.8881223,2.1512722E-04,1.4667216E-02
2871,0.04265609913,2.9431129,1.1723855E-03,3.4240115E-02
2881,0.0428046748845455,2.9763556,9.4358555E-05,9.713833E-03
2891,0.0429532506390909,2.9867058,1.14545735E-04,1.0702604E-02
2901,0.0431018263936364,2.9256272,2.6586294E-04,1.6305303E-02
2911,0.0432504021481818,3.0969822,1.0521914E-03,3.24375E-02
2921,0.0433989779027273,3.0053935,1.21725745E-04,1.1032939E-02
2931,0.0435475536572727,3.022938,9.2236855E-04,3.037052E-02
2941,0.0436961294118182,3.1262844,2.5041879E-03,5.004186E-02
2951,0.0438447051663636,3.0712276,1.3405812E-04,1.15783475E-02
2961,0.0439932809209091,3.1079466,2.1490929E-04,1.4659785E-02
2971,0.0441418566754545,3.1329973,8.317717E-04,2.8840452E-02
2981,0.04429043243,3.1981475,8.2414626E-04,2.8707948E-02
2991,0.0444390081845455,3.077215,1.3035987E-04,1.1417525E-02
3001,0.0445875839390909,3.193905,1.5773942E-03,3.9716423E-02
3011,0.0447361596936364,3.194598,1.9576895E-04,1.3991746E-02