c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24
1,8,516,214,4,289,O,18,12445,6280,24252,17809,O,8,10213,4822,23681,14433,O,8,157,59,4,64
2,8,682,337,5,313,O,27,23494,14720,43507,217735,O,7,20504,10569,39869,29795,O,19,210,82,4,99
3,8,658,378,3,452,O,18,40816,21683,78313,58426,O,7,34137,15271,59598,44533,O,19,206,78,4,276
4,8,661,383,10,477,O,19,56890,26496,105524,425656,O,7,47432,22982,87099,62815,O,18,254,118,4,254
5,7,646,443,9,499,O,17,68287,32269,121551,98183,O,8,60255,25415,103512,81146,O,18,221,87,5,265
6,7,736,528,10,554,O,17,87598,39822,150452,114956,O,7,72833,32056,134330,90037,O,17,238,109,5,276
7,28,756,364,10,534,O,18,93006,47234,185080,144902,O,8,80162,42103,159462,114004,O,18,422,82,4,95
8,7,712,363,7,484,O,19,106464,51230,199519,865797,O,7,94426,48176,193733,143945,O,7,246,94,5,113
9,9,712,393,8,489,O,17,114532,62168,234042,158317,O,9,102912,49443,191767,141753,O,7,204,86,4,269
10,8,986,472,10,592,O,17,135116,68046,250919,198905,O,8,107856,50439,200795,167646,O,18,255,102,4,118
11,6,755,487,7,503,O,17,147115,74185,258331,209903,O,8,124789,62612,224376,175127,O,8,474,111,4,121
12,6,758,442,8,543,O,18,163102,73550,310270,239249,O,8,133242,70789,267947,189253,O,7,284,100,3,124
13,8,750,453,7,567,O,17,158422,81206,322826,258838,O,7,154336,75067,293240,212801,O,7,265,133,5,139
14,8,978,611,10,553,O,17,190617,92409,354073,252895,O,8,161242,79419,313892,241928,O,7,297,138,7,128
15,7,790,542,12,601,O,16,190559,98480,384532,273334,O,7,173129,89584,348697,258710,O,19,227,108,4,104
16,7,818,520,10,621,O,17,199205,100841,1791015,296141,O,7,181245,93412,391760,273241,O,7,250,113,5,287
17,18,1072,659,11,665,O,17,236508,112420,430687,341627,O,8,201476,95305,376597,299608,O,18,232,123,4,267
18,9,893,570,9,639,O,18,238687,119069,464050,363459,O,7,215735,99763,398176,314300,O,18,271,297,5,141
19,8,779,534,10,617,O,17,260218,133442,492630,389765,O,8,212832,101303,422602,307158,O,17,238,114,5,272
20,8,760,469,8,637,O,17,269635,138076,511726,425407,O,7,214295,104601,420826,310384,O,18,230,129,5,136
21,7,946,501,4,691,O,17,274286,133946,539604,438914,O,7,225518,115780,469904,334877,O,7,247,280,5,115
22,8,1278,771,6,675,O,16,301069,143243,558795,439385,O,8,233801,127257,469596,370202,O,18,229,96,6,261
23,18,1275,678,7,785,O,17,323021,153057,609744,450892,O,7,238402,121139,485392,391709,O,19,262,119,5,297
24,7,1102,632,7,834,O,17,317563,168129,626588,491512,O,8,272744,139290,502504,368451,O,10,249,301,5,120
25,7,1099,576,9,636,O,19,340253,173676,636450,508460,O,8,285932,129767,513307,439003,O,18,269,142,5,131
26,8,1256,692,5,749,O,17,350072,177087,649789,520528,O,8,288068,138129,587798,424387,O,18,507,134,4,140
27,7,1052,734,6,728,O,16,369450,184848,685033,511368,O,8,283021,142115,594828,470619,O,8,243,103,8,112
28,7,923,540,4,626,O,18,364708,197459,727314,541860,O,8,313756,167346,622334,498192,O,8,303,142,5,155
29,7,796,448,5,689,O,17,392343,187534,755413,597753,O,7,312044,153138,616632,501468,O,7,486,109,5,124
30,8,1057,457,7,656,O,15,417423,196894,776107,568914,O,8,308219,153126,669722,507855,O,11,348,182,6,197
31,8,1054,529,5,643,O,17,430813,201227,780967,626951,O,8,348612,171963,693511,521220,O,18,359,130,5,136
32,7,1045,702,6,760,O,17,413182,211597,3536408,595963,O,8,359193,180801,703308,555029,O,7,343,130,5,268
33,8,820,481,5,621,O,17,439584,202591,815048,615925,O,8,368078,180958,717646,522803,O,8,267,128,5,258
34,8,906,585,4,711,O,17,435197,225388,852682,632343,O,7,385231,189157,766816,565996,O,19,266,125,14,260
35,7,903,622,8,651,O,18,462171,222859,872634,675700,O,7,1852181,177814,729641,515466,O,9,305,134,6,262
36,7,963,473,4,576,O,17,450569,235195,914190,704149,O,8,389902,191013,781688,575694,O,8,519,108,5,134
37,18,1104,627,5,728,O,17,473641,241063,956601,708946,O,8,418990,200519,809569,615487,O,18,525,128,6,158
38,18,1245,775,6,713,O,21,492942,243125,964061,722671,O,7,411597,213435,828453,647597,O,18,309,123,5,280
39,8,992,619,4,694,O,17,506529,255166,991764,768068,O,8,423151,215554,827229,655145,O,18,516,143,4,146
40,7,924,585,8,699,O,17,535743,258492,1038011,759091,O,8,455072,201114,907557,628239,O,7,316,332,6,155
41,8,836,524,5,640,O,16,521298,260395,1029136,778568,O,7,457432,210043,916704,690790,O,6,311,165,4,151
42,8,1082,544,5,671,O,17,537681,263697,1053194,787543,O,8,486851,227891,944674,688104,O,18,544,143,5,149
43,8,1071,678,5,707,O,18,535047,259170,1106512,847686,O,8,460669,224743,954070,721652,O,18,313,142,5,137
44,8,1013,603,6,675,O,18,582966,291407,1119004,829375,O,7,477657,246548,1017097,746862,O,18,354,124,5,155
45,8,1235,757,11,880,O,19,578356,284349,1144334,878504,O,8,507356,237779,1016972,765758,O,18,270,139,5,253
46,7,959,647,5,674,O,16,591026,292684,1179835,886130,O,9,509670,261044,1012198,762434,O,18,310,138,6,135
47,18,996,524,4,672,O,16,610914,314215,1194652,922577,O,7,522028,265403,1031332,766665,O,18,278,126,4,126
48,8,1056,649,6,757,O,18,606280,313735,1235129,903127,O,8,546412,261323,1043645,802367,O,7,291,136,5,148
49,7,998,629,5,678,O,17,618162,304422,1259475,925296,O,8,537804,279102,1137052,811549,O,18,287,137,4,147
50,19,1345,904,8,1025,O,20,660417,331148,1256480,968364,O,9,554281,294443,1128015,837709,O,18,318,315,15,153